rid,us_name,authorid,match_type,host_id,source,n_papers
1439,Donna M Barron,A5111094832,fuzzy,I23472080,round3_semantic,1
1442,Harikesh S Wong,A5090452962,fuzzy,,round3_semantic,19
1454,Quentin L Biddy,A5012177993,alias,,round3_semantic,16
1457,Han Zhao,A5101868914,alias,,round3_semantic,2
1463,jeffrey hovermill,A5076629769,exact,,name_unique,10
1465,Kwangsung Oh,A5091738746,exact,,name_unique,19
1475,Benjamin R Hayes,A5019112014,exact,,name_unique,1
1476,Trevor J Jones,A5064161727,fuzzy,I74973139,round3_semantic,19
1477,Patricia M Gregg,A5087033193,alias,,round4_maxpapers,1
1478,Melanie R McReynolds,A5074060815,alias,,round4_maxpapers,2
1482,Cinnamon Hillyard,A5080796455,alias,I201448701,round2_inst,15
1500,Matthew E Pritchard,A5081214738,fuzzy,,round3_semantic,1
1508,Lauren Andrews,A5036971797,fuzzy,I24603500,round2_inst,13
1530,Oana M Martin,A5009077482,fuzzy,,round4_maxpapers,3
1533,Jacob Shiba,A5001536117,fuzzy,,round4_maxpapers,1
1538,Craig A Ogilvie,A5102348820,fuzzy,,round4_maxpapers,1
1540,Hersh J Chaitin,A5038344551,fuzzy,,round3_semantic,6
1544,Julie H Simpson,A5006177901,fuzzy,,round3_semantic,7
1548,Roger Casals Gutierrez,A5026017521,fuzzy,,round4_maxpapers,1
1556,Amanda K Rowe,A5066832623,fuzzy,,round3_semantic,15
1562,Marisa S Otegui,A5046990371,alias,,round4_maxpapers,5
1563,Yaxing Yao,A5057516581,alias,,round3_semantic,9
1567,Darcy K Ernst,A5052943020,fuzzy,,round3_semantic,9
1573,Elizabeth A Nagy,A5043260417,fuzzy,I109301148,round2_inst,20
1574,Emmanuelle A Marquis,A5005125065,alias,,round4_maxpapers,1
1575,Ashanti Edwards,A5084113576,exact,,name_unique,13
1576,Meng Lu,A5111264844,exact,I173911158,round3_semantic,12
1577,Johnathan H Broome,A5012228316,fuzzy,,round4_maxpapers,2
1585,Tingjun Chen,A5109416502,alias,I170897317,round3_semantic,20
1589,Pengfei Su,A5071320445,alias,I156087764,round2_inst,14
1591,Melanie R Fewings,A5087197928,alias,,round4_maxpapers,1
1593,Sandhya K Narayanan,A5077375068,fuzzy,,round3_semantic,6
1601,Shang Zhai,A5032503546,alias,,round3_semantic,18
1612,Carl L Arrington,A5042930784,fuzzy,,round4_maxpapers,3
1625,Lei Gu,A5003597021,alias,I79576946,round3_semantic,5
1630,Abhishek T Naik,A5062667821,fuzzy,,round3_semantic,5
1635,Mary E Whelan,A5094345894,alias,,round3_semantic,2
1651,Anthony Boccanfuso,A5069631223,alias,I4210113537,round2_inst,11
1660,Mohammad Ghashami,A5057691788,exact,,name_unique,19
1674,Lien-Yung Kao,A5090209558,exact,,name_unique,20
1675,Reed K Bay,A5012999867,alias,,round3_semantic,2
1683,Tracie Canada,A5062699020,exact,,name_unique,10
1684,Joaquín Moraga,A5093494915,exact,I161318765,round3_semantic,1
1689,Suzanne Boyd,A5001981257,alias,I43579087,round3_semantic,19
1697,Paul Langridge,A5078693849,alias,I25041050,round2_inst,15
1700,yincheng jin,A5064169296,alias,,round3_semantic,14
1714,Isaiah Abimbola,A5031961996,fuzzy,,round4_maxpapers,1
1718,Tristan S LEcuyer,A5030353580,fuzzy,,round4_maxpapers,2
1727,Marcos H de Moraes,A5091515572,fuzzy,,round3_semantic,14
1733,Philip N Brown,A5048349173,alias,,round4_maxpapers,4
1734,Ira Caspari-Gnann,A5003816470,exact,,name_unique,16
1735,Zong Liu,A5016215419,alias,,round3_semantic,3
1739,Kirin E Furst,A5113192819,exact,,name_unique,1
1747,Tong Shu,A5056821569,exact,I123534392,round3_semantic,8
1759,Joanna Davies,A5022103895,alias,,round3_semantic,2
1766,Pegah Mosharaf Ghahfarokhy,A5093975109,exact,,name_unique,1
1777,Thomas Yahl,A5044824446,exact,,name_unique,16
1782,Corey S O'Hern,A5110142326,exact,,name_unique,1
1786,Sarah M Brown,A5101448913,fuzzy,I17626003,round3_semantic,10
1794,Abigail Stylianou,A5018301000,exact,,name_unique,1
