rid,eu_name,authorid,sci_name,match_type
1787,Aleksandra Maria Walczak,A5016850339,Aleksandra M. Walczak,fuzzy
1770,Harvey Byron Meyer,A5105320829,Harvey Kessler Meyer,fuzzy
1493,Ana Godinho Ferreira,A5014524949,Ana Raposo Ferreira,fuzzy
937,Paul William Selberg-Franks,A5019422684,Paul C. Franks,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5087201088,Bruno Lintz dos Santos,fuzzy
2383,Maria A Zuluaga,A5013358275,Maria T. Zuluaga,fuzzy
3216,Alberto Miguel Martin,A5059543616,Alberto Rubín Martín,fuzzy
563,Ana Joao Gomes Rodrigues,A5016576355,Ana Rita Maciel Rodrigues,fuzzy
749,Veit Helmut Hornung,A5016667606,Veit Hornung,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5107158796,Maria Clotilde Meirelles Ribeiro,fuzzy
161,Manuel Irimia Martinez,A5111513483,Manuel Seijo Martínez,fuzzy
3221,Laurens Julien Henri Cherchye,A5008745851,Laurens Cherchye,fuzzy
563,Ana Joao Gomes Rodrigues,A5103557072,Ana Rita Rodrigues,fuzzy
1752,Rafael Alejandro Porto Pereira,A5112993996,Rafael Fernando Pinto Pereira,fuzzy
4058,Jeremy Edmund Taylor,A5011154250,Jeremy Taylor,fuzzy
2892,Rebeca Marcilla Garcia,A5113096262,Rebeca Liébana García,fuzzy
4058,Jeremy Edmund Taylor,A5065006247,Jeremy D. O. Taylor,fuzzy
1999,Andrew James Ferguson,A5098266779,Andrew Ferguson,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5054269656,Ana Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5054269656,Ana Teixeira,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5012073714,Bruno Marcos Melo Cabral Dos Santos,fuzzy
563,Ana Joao Gomes Rodrigues,A5058214527,Ana keli Rodrigues,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5060838468,Maria de Nazaré Souza Ribeiro,fuzzy
