rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
2890,Gerasimos Konstantatos,A5000051253,alias,I179630473,True,186,round4_semtie
2911,Francois Courvoisier,A5037973920,alias,I1294671590,True,342,round4_semtie
2919,Mariano Campoy Quiles,A5029700996,alias,,True,206,round4_semtie
2921,Dongsheng Wen,A5070857673,exact,I130828816,True,439,round4_semtie
2930,Maria De Les Neus Sabate Vizcarra,A5005053726,fuzzy,,False,10,round4_maxpapers
2935,Timon Rabczuk,A5065190539,alias,I51441396,True,998,round4_semtie
2943,Alberto Guardone,A5028685995,alias,I93860229,True,275,round4_semtie
2944,Paolo Decuzzi,A5061631250,exact,I30771326,True,301,round4_semtie
2951,Miguel Zumalacarregui Perez,A5009717379,alias,,False,1,round4_maxpapers
2965,Ondrej Pejcha,A5048301562,alias,I21250087,True,147,round4_semtie
2966,Boon Kok Tan,A5037572044,alias,I40120149,True,77,round4_semtie
2972,Antoine Strugarek,A5085271241,exact,I2738703131,True,179,round4_semtie
2974,Alessandra Silvestri,A5101571590,alias,I121797337,True,206,round4_semtie
2990,Paola Popesso,A5107006836,alias,I1321434546,True,48,round4_semtie
2994,Christian Moestl,A5000417828,alias,I4387154425,True,254,round4_semtie
2995,Sebastiano Bernuzzi,A5036798137,alias,,True,333,round4_semtie
2998,Akira Endo,A5036791785,exact,I98358874,True,415,round4_semtie
3004,Stefan Kraus,A5040615789,alias,I23923803,True,410,round4_semtie
3011,Sebastiano Cantalupo,A5065902238,exact,,True,210,round4_semtie
3022,Alberto Sesana,A5013212715,alias,,True,364,round4_semtie
3024,Ingunn Kathrine Wehus,A5060541292,alias,I184942183,False,339,round4_maxpapers
3041,Michela Mapelli,A5071822154,exact,,True,409,round4_semtie
3042,Kevin Heng,A5019327228,exact,I118564535,True,365,round4_semtie
3048,Olena Khomenko,A5010585644,alias,,False,62,round4_maxpapers
3050,Pierre Beck,A5082819947,alias,I899635006,True,420,round4_semtie
3051,Petrus Van De Ven,A5020277527,fuzzy,,False,1,round4_maxpapers
3061,Daniele Antonangeli,A5004482216,alias,I1294671590,True,183,round4_semtie
3064,Emilia Kilpua,A5020163516,alias,I133731052,False,492,round4_maxpapers
3073,Frantz Martinache,A5024494164,alias,I4210126779,True,312,round4_semtie
3080,Haley Louise Gomez,A5060096577,alias,I79510175,True,102,round4_semtie
3091,Andreas Zezas,A5052546913,alias,,False,1,round4_maxpapers
3110,Alessia Russo,A5069225762,alias,I138689650,True,30,round4_semtie
3117,Arash Nekoei,A5057259115,exact,I161593684,True,36,round4_semtie
3123,Joan Llull,A5069285498,exact,,True,33,round4_semtie
3125,Mathieu Couttenier,A5026351385,exact,I113428412,True,83,round4_semtie
3127,Andrew Rhodes,A5056779507,exact,I4210092408,True,56,round4_semtie
3134,Luigi Pascali,A5005979151,exact,,True,31,round4_semtie
3138,Tobias Berg,A5110237508,alias,,True,225,round4_semtie
3144,Ghazala Azmat,A5087433849,alias,I205092303,True,56,round4_semtie
3152,Eduardo Perez,A5073946143,alias,I205092303,True,27,round4_semtie
3163,Stephen Hansen,A5044176523,alias,I45129253,True,90,round4_semtie
3177,Daniel Alberto Paravisini Maggi,A5088730075,fuzzy,,False,6,round4_maxpapers
3178,Maria Libertad González Luna,A5102776436,fuzzy,I170486558,False,104,round4_maxpapers
3212,Yann Algan,A5051037471,exact,I205092303,True,262,round4_semtie
3213,Barbara Rossi,A5101804566,alias,I170486558,True,197,round4_semtie
3215,Donato (Dino) Gerardi,A5076100220,fuzzy,,False,16,round4_maxpapers
3240,Steffen Eckhard,A5028821349,alias,,True,125,round4_semtie
3243,Ignacio Jurado,A5071506658,alias,,True,161,round4_semtie
3268,Aoife Daly,A5086530124,exact,,True,62,round4_semtie
3271,Tom Van Der Meer,A5010780363,exact,I887064364,True,141,round4_semtie
3278,Maria Malksoo,A5029193606,exact,I124055696,True,94,round4_semtie
3285,Charles Wilson,A5033157082,alias,I40120149,True,117,round4_semtie
3295,Tobias Kuemmerle,A5060331729,alias,I39343248,True,325,round4_semtie
3317,Niels Petersen,A5065018261,alias,I22465464,True,208,round4_semtie
3318,Eoin Carolan,A5102849467,alias,I100930933,True,73,round4_semtie
3320,James Woodcock,A5036593639,exact,I241749,True,156,round4_semtie
3329,Jean-Benoit Pilet,A5036219475,exact,I132053463,True,346,round4_semtie
3337,Victoria Reyes-García,A5080550633,exact,I123044942,True,407,round4_semtie
3346,Staffan I. Lindberg,A5082109923,alias,I881427289,True,515,round4_semtie
3350,Panagiotis Delimatsis,A5027327104,exact,I193700539,True,199,round4_semtie
3354,Jochen Peter,A5037694810,exact,I887064364,True,137,round4_semtie
3357,Rachel Mary Brooks,A5054393041,fuzzy,I28290843,False,294,round4_maxpapers
3364,Klaus Lindgaard Hoeyer,A5017257181,alias,I124055696,False,119,round4_maxpapers
3386,Vinh-Kim Nguyen,A5042365595,alias,I951315,True,76,round4_semtie
3392,Edward Simpson,A5018349673,exact,I31575130,True,128,round4_semtie
3399,Pablo Alonso Gonzalez,A5046619694,alias,I134820265,True,195,round4_semtie
3411,Carsten Sauer,A5001091566,alias,,True,92,round4_semtie
3420,Ilona Croy,A5012388054,exact,,True,240,round4_semtie
3421,Luigi Achilli,A5045347137,alias,,True,53,round4_semtie
3437,Jeanine Dagyeli,A5037343994,exact,I129774422,False,34,round4_maxpapers
3438,Maya Benish-Weisman,A5008725627,alias,I197251160,True,47,round4_semtie
3441,Tali Kristal,A5060541841,alias,I91203450,True,31,round4_semtie
3445,Joris Mulder,A5025801659,alias,I193700539,True,153,round4_semtie
3461,Hallvard Moe,A5012542798,exact,I4432739,True,112,round4_semtie
3473,Maria Melchior,A5020661226,exact,I154526488,True,327,round4_semtie
3475,Roger Canals Vilageliu,A5089635816,fuzzy,,False,4,round4_maxpapers
3478,Dimitrios Pavlopoulos,A5080609103,fuzzy,,False,1,round4_maxpapers
3485,Eran Halperin,A5042631896,alias,I197251160,True,295,round4_semtie
3486,Sonja Zmerli,A5046470069,alias,I899635006,True,114,round4_semtie
3497,Helga De Valk,A5103954271,alias,I1322597698,True,154,round4_semtie
3498,Torkild Hovde Lyngstad,A5022144815,alias,I184942183,True,103,round4_semtie
3507,Paula Marie Madelén Evertsson,A5087668674,fuzzy,,False,1,round4_maxpapers
3509,Lucie Dale Cluver,A5063549016,alias,I40120149,False,319,round4_maxpapers
3513,Maria Almudena Sevilla,A5038930937,fuzzy,,True,69,round4_semtie
3526,Benjamin William Anthony Ansell,A5110857298,fuzzy,,False,39,round4_maxpapers
3528,Christiaan Willem Simon Monden,A5110883201,alias,I40120149,True,15,round4_semtie
3534,Inga Dora Sigfusdottir,A5067846824,exact,I123185442,True,136,round4_semtie
3538,Anna Ray Davies,A5017955133,alias,I205274468,False,179,round4_maxpapers
3547,Lars Meyer,A5068448582,alias,I149899117,True,194,round4_semtie
3550,John Mansfield,A5064414060,exact,I202697423,True,45,round4_semtie
3574,Siri Leknes,A5005944284,alias,I184942183,True,75,round4_semtie
3582,Matthias Urban,A5008245214,exact,,True,68,round4_semtie
3584,Sigal Zilcha-Mano,A5087376272,alias,I91203450,True,209,round4_semtie
3590,Simone Kuehn,A5110904026,exact,,True,11,round4_semtie
3593,Delphine Oudiette,A5075924830,exact,I154526488,True,74,round4_semtie
3594,Yuval Hart,A5003719175,exact,I197251160,True,43,round4_semtie
3597,Philipp Kanske,A5032090455,alias,,True,229,round4_semtie
3609,Gesa Hartwigsen,A5021157610,exact,,True,338,round4_semtie
3615,Stefano Palminteri,A5028199267,exact,I154526488,True,158,round4_semtie
3620,Bernhard Spitzer,A5073216442,alias,,True,71,round4_semtie
3623,Alejandrina Cristia,A5042831132,exact,I1294671590,True,334,round4_semtie
3633,Birte Forstmann,A5032945266,alias,I887064364,True,244,round4_semtie
3648,Michel Thiebaut De Schotten,A5024787899,exact,I1294671590,True,266,round4_semtie
3649,Raquel Fernandez Rovira,A5030112271,fuzzy,,False,1,round4_maxpapers
3650,Christopher Mark Bird,A5040659934,alias,,False,1,round4_maxpapers
3651,John Robert Gareth Williams,A5040243886,fuzzy,I130828816,False,909,round4_maxpapers
3656,Bahador Bahrami,A5049607869,alias,I8204097,True,126,round4_semtie
3658,Giovanni Pezzulo,A5053290697,alias,,True,330,round4_semtie
3692,Roberta Anna Grazia D'Alessandro,A5030265040,fuzzy,,False,2,round4_maxpapers
3699,Christopher David Iain Chambers,A5103000465,fuzzy,,True,190,round4_semtie
3701,Simon Hanslmayr,A5012219181,exact,I7882870,True,181,round4_semtie
3710,Pol Van Lier,A5053439178,alias,I865915315,True,202,round4_semtie
3716,Andrea Evers,A5065164200,alias,I121797337,False,538,round4_maxpapers
3724,Giorgio Coricelli,A5025755962,exact,I193223587,True,84,round4_semtie
3730,Peter Webb,A5080240323,alias,I121797337,True,175,round4_semtie
