rid,us_name,authorid,match_type,host_id
1687,Alexander Koldobsky,A5102833837,exact,I76835614
1522,Kinnis K Gosha,A5074411430,fuzzy,I85230861
91,Claus R Danielson,A5072891938,alias,I169521973
2234,Gen Yin,A5080922868,alias,I184565670
1793,Igor V Kamenkovich,A5073014954,fuzzy,I145608581
344,Angelica M Osorno,A5008716625,fuzzy,I55486353
531,Nathalie M Pinkerton,A5071946643,fuzzy,I57206974
1756,Kennedy O Doro,A5085449126,fuzzy,I90871651
2407,Luke McGuire,A5020316659,alias,I138006243
2804,Tara Hudiburg,A5009573971,alias,I155093810
77,Maryam Hojati,A5011294780,alias,I169521973
1804,Jingdao Chen,A5081456948,alias,I99041443
31,Patrick J Walsh,A5033460123,fuzzy,I79576946
2199,Elaine C Seaver,A5003330079,fuzzy,I33213144
2747,Pierluigi Nuzzo,A5067636168,exact,I95457486
405,Aditya Vashistha,A5072922547,exact,I205783295
1052,Shih-Chun Lin,A5080987710,alias,I137902535
2793,Virginia M Naibo,A5020804463,fuzzy,I189590672
1958,Francesco Carbone,A5090392147,exact,I140172145
478,John Hu,A5005026721,alias,I115475287
1620,Shubhendu Bhardwaj,A5078872365,exact,I114395901
2880,Qiang S Cheng,A5100768223,fuzzy,I143302722
2461,Xitong Liu,A5072983516,alias,I193531525
2217,Rong Yin,A5058963501,alias,I137902535
2453,Hamidreza Aghasi,A5040945735,alias,I204250578
848,Cesar A Uribe,A5047076392,fuzzy,I74775410
2941,Nathan Laxague,A5003786387,alias,I161057412
2450,Andrew J Mannix,A5055435906,fuzzy,I97018004
958,Mark O Riedl,A5108074094,fuzzy,I130701444
1395,Michael K Brown,A5101576838,fuzzy,I82497590
1546,Rowan B Killip,A5060648196,fuzzy,I161318765
1813,David C Anastasiu,A5002755684,fuzzy,I16269868
1382,Mengjia Yan,A5057740643,exact,I63966007
1056,Kwek-Tze Tan,A5021223767,alias,I110152177
212,Ahmed Saeed,A5031381014,alias,I130701444
1200,David R Broussard,A5038151764,fuzzy,I55926968
153,Sui Yang,A5100618091,alias,I55732556
891,Li Ke,A5107945956,alias,I201448701
891,Li Ke,A5107922938,alias,I201448701
181,Gong Chen,A5042827224,alias,I130701444
298,Qiuming Yao,A5049970842,alias,I114395901
1104,Ming L Tang,A5056292870,fuzzy,I223532165
2903,Peter Hitchcock,A5000195518,alias,I205783295
41,Shuang Zhang,A5100321545,alias,I91045830
2149,Eric A Montoya,A5076145388,fuzzy,I223532165
1121,Yang Wang,A5100423354,exact,I145608581
655,Yan Li,A5100648834,exact,I107672454
873,Samet Oymak,A5050547472,exact,I27837315
2477,Xin Zhang,A5101662915,alias,I111088046
625,Kirsten Adam,A5066280556,alias,I74775410
2366,Lesley B Knoll,A5014139923,fuzzy,I83328450
2353,Wei Zhang,A5057842914,alias,I12315562
786,Lin Lin,A5106406577,alias,I95457486
128,Grace C Wu,A5026817940,fuzzy,I154570441
1429,Xiaoran Hu,A5042217329,exact,I70983195
541,Michelle Teplensky,A5040891672,alias,I111088046
2466,Jeremy A Riousset,A5057925807,fuzzy,I84475105
1669,Xin Liang,A5077485590,alias,I143302722
5,Heng Zuo,A5034247762,exact,I169521973
2446,Emil A Hernández-Pagán,A5038983042,fuzzy,I86501945
2408,SUSU XU,A5000157874,alias,I145311948
1655,Ping Yang,A5101947336,alias,I91045830
445,Juner Zhu,A5101869803,alias,I12912129
1919,Trevor S Waldien,A5071550357,fuzzy,I184647316
2269,Kaiqing Zhang,A5047410441,alias,I66946132
1741,Rachel Riley,A5019133023,alias,I44265643
740,Karl R Schmitt,A5080580162,fuzzy,I112164570
922,Peng Gao,A5024596435,exact,I859038795
2445,Sarah R Smith,A5088804551,fuzzy,I51504820
2210,Laura A Katz,A5112841187,fuzzy,I202524275
2084,James Shepherd,A5083528587,alias,I87216513
2850,Reza Kamali-Sarvestani,A5037852701,alias,I226560621
2984,Dawei Zhou,A5049799014,alias,I859038795
966,Mukesh Kumar,A5101851727,alias,I16277215
455,Martin Tomanik,A5084366282,alias,I57206974
80,Abhay Bangalore Ramachandra,A5003306040,alias,I173911158
1796,Xiaojing Wang,A5100411608,alias,I140172145
2692,Xing Gao,A5029553428,alias,I86501945
1884,Yuan Wang,A5100322864,alias,I97018004
1655,Ping Yang,A5103833058,alias,I91045830
154,Xueqing Liu,A5100775509,alias,I108468826
1884,Yuan Wang,A5016628929,fuzzy,I97018004
2196,Aayush Jain,A5033799874,alias,I74973139
1233,Elizabeth Paul,A5054394934,alias,I78577930
824,Michael J Daley,A5102913303,fuzzy,I5388228
554,Min Shi,A5076712745,exact,I79516672
2065,Jing Li,A5100337041,alias,I368840534
851,Mingyue Ji,A5058487273,alias,I33213144
2571,John W Meriwether,A5038494358,fuzzy,I118118575
17,Pan Xu,A5102751773,alias,I118118575
398,Aritra Mitra,A5101651422,exact,I137902535
699,Robert Iafe,A5054473185,alias,I226560621
1610,Yang Zhang,A5100354811,exact,I137902535
347,Laura J Muller,A5051344430,fuzzy,I4210115256
997,Justin W Graham,A5084100653,fuzzy,I184654094
91,Claus R Danielson,A5021038488,fuzzy,I169521973
602,Wei Liu,A5084509044,alias,I859038795
1694,Sungjin Im,A5006392819,alias,I185103710
1156,Stephanie M Campos,A5068500580,fuzzy,I7863295
1796,Xiaojing Wang,A5100411595,alias,I140172145
894,Weiping Pei,A5089019010,alias,I87208437
2396,Joseph D Peterson,A5070534549,fuzzy,I161318765
1193,John M Zobitz,A5098358955,fuzzy,I119916105
444,Cong Hao,A5053022655,alias,I130701444
461,Donghee Yvette Wohn,A5040735139,exact,I118118575
2889,Jong Hyun Ham,A5008489344,alias,I134386540
1701,Yin Li,A5100451141,alias,I135310074
2265,Fabien Pinaud,A5060214768,exact,I1174212
2105,Kyle Chard,A5065464552,exact,I40347166
1302,Michael Ham,A5005763135,alias,I125467818
1482,Cinnamon Hillyard,A5080796455,exact,I201448701
1081,Brendan Hassett,A5025173159,exact,I27804330
1687,Alexander Koldobsky,A5102833837,alias,I76835614
2234,Gen Yin,A5080922868,exact,I184565670
2768,Maryam Hojati,A5011294780,alias,I169521973
1804,Jingdao Chen,A5081456948,exact,I99041443
2747,Pierluigi Nuzzo,A5067636168,alias,I95457486
405,Aditya Vashistha,A5072922547,alias,I205783295
1052,Shih-Chun Lin,A5080987710,exact,I137902535
1958,Francesco Carbone,A5090392147,alias,I140172145
478,John Hu,A5005026721,exact,I115475287
1620,Shubhendu Bhardwaj,A5078872365,alias,I114395901
2461,Xitong Liu,A5072983516,exact,I193531525
2217,Rong Yin,A5058963501,exact,I137902535
2453,Hamidreza Aghasi,A5040945735,exact,I204250578
2071,Cesar A Uribe,A5047076392,fuzzy,I74775410
1382,Mengjia Yan,A5057740643,alias,I63966007
212,Ahmed Saeed,A5031381014,exact,I130701444
153,Sui Yang,A5100618091,exact,I55732556
298,Qiuming Yao,A5049970842,exact,I114395901
41,Shuang Zhang,A5100321545,exact,I91045830
2409,Yang Wang,A5100423354,exact,I145608581
655,Yan Li,A5100648834,alias,I107672454
873,Samet Oymak,A5050547472,alias,I27837315
2477,Xin Zhang,A5101662915,exact,I111088046
625,Kirsten Adam,A5066280556,exact,I74775410
2353,Wei Zhang,A5057842914,exact,I12315562
786,Lin Lin,A5106406577,exact,I95457486
1429,Xiaoran Hu,A5042217329,alias,I70983195
5,Heng Zuo,A5034247762,alias,I169521973
2408,SUSU XU,A5000157874,exact,I145311948
1655,Ping Yang,A5101947336,exact,I91045830
445,Juner Zhu,A5101869803,exact,I12912129
2269,Kaiqing Zhang,A5047410441,exact,I66946132
1741,Rachel Riley,A5019133023,exact,I44265643
922,Peng Gao,A5024596435,alias,I859038795
2850,Reza Kamali-Sarvestani,A5037852701,exact,I226560621
2984,Dawei Zhou,A5049799014,exact,I859038795
966,Mukesh Kumar,A5101851727,exact,I16277215
455,Martin Tomanik,A5084366282,exact,I57206974
1796,Xiaojing Wang,A5100411608,exact,I140172145
2692,Xing Gao,A5029553428,exact,I86501945
154,Xueqing Liu,A5100775509,exact,I108468826
2196,Aayush Jain,A5033799874,exact,I74973139
1233,Elizabeth Paul,A5054394934,exact,I78577930
554,Min Shi,A5076712745,alias,I79516672
2065,Jing Li,A5100337041,exact,I368840534
851,Mingyue Ji,A5058487273,exact,I33213144
398,Aritra Mitra,A5101651422,alias,I137902535
1610,Yang Zhang,A5100354811,alias,I137902535
602,Wei Liu,A5084509044,exact,I859038795
1694,Sungjin Im,A5006392819,exact,I185103710
1796,Xiaojing Wang,A5100411595,exact,I140172145
894,Weiping Pei,A5089019010,exact,I87208437
77,Maryam Hojati,A5011294780,exact,I169521973
2409,Yang Wang,A5100423354,alias,I145608581
2768,Maryam Hojati,A5011294780,exact,I169521973
1121,Yang Wang,A5100423354,alias,I145608581
2477,Xin Zhang,A5076631760,exact,I111088046
2213,Faez Ahmed,A5108910035,alias,I63966007
1780,Tanushree Mitra,A5049845658,alias,I201448701
1623,Murat Arcak,A5093988643,exact,I95457486
2718,Michelle Smith,A5108660029,alias,I205783295
1439,Donna M Barron,A5111094832,fuzzy,I23472080
2907,Jie Ding,A5100625885,exact,I130238516
2706,Chi Zhang,A5100458257,alias,I165690674
2477,Xin Zhang,A5076631760,alias,I111088046
