rid,us_name,authorid,match_type,host_id,source,n_papers
8437,Kurt E Anderson,A5101468119,fuzzy,I103635307,round2_inst,70
8439,Nora Ayanian,A5002752114,alias,I1174212,round2_inst,91
8440,Stephen A Ramsey,A5091354698,fuzzy,I131249849,round2_inst,129
8442,Sylvia Ratnasamy,A5045155287,exact,,name_unique,163
8443,Nikhil Srivastava,A5102776702,exact,I95457486,round3_semantic,36
8444,David Jassby,A5039178317,alias,I103635307,round2_inst,150
8445,Qi Zhu,A5020896290,exact,I103635307,round3_semantic,310
8446,Stefano Tessaro,A5073675827,alias,I154570441,round2_inst,148
8448,Yvonne Y Chen,A5078815820,fuzzy,I161318765,round3_semantic,86
8449,Yan Xia,A5075565259,alias,I97018004,round3_semantic,166
8451,Alexander J Miller,A5074259020,fuzzy,I114027177,round3_semantic,303
8452,Xiaoliang Jin,A5007951566,alias,I115475287,round3_semantic,82
8453,Mingji Dai,A5031635514,exact,I219193219,round2_inst,170
8454,Carrie Hall,A5026464791,alias,I180949307,round2_inst,157
8455,Jeremiah Zartman,A5089489482,alias,I107639228,round2_inst,106
8456,James Moon,A5052847542,alias,I27837315,round3_semantic,173
8457,Greg Thurber,A5037263558,alias,I27837315,round3_semantic,132
8458,Adam Holley,A5054065302,exact,I63920570,round2_inst,54
8459,Kai Sun,A5066245188,exact,I75027704,round3_semantic,394
8460,Necmiye Ozay,A5054418471,exact,I27837315,round2_inst,271
8461,Sean S Downey,A5054268198,fuzzy,I66946132,round2_inst,55
8462,Kimberly D Genareau,A5048101115,fuzzy,I17301866,round2_inst,72
8463,Jing Lei,A5085887576,alias,I74973139,round2_inst,239
8464,Wilsaan M Joiner,A5049665568,fuzzy,I162714631,round2_inst,93
8465,Mark Siemens,A5067287328,alias,I131651094,round2_inst,196
8466,Mohammed Baalousha,A5040564184,exact,I155781252,round2_inst,131
8467,Ignacio Franco,A5078198461,alias,I5388228,round2_inst,105
8468,Feng Ding,A5100626869,alias,I8078737,round3_semantic,323
8469,Piya Pal,A5043251101,exact,I66946132,round2_inst,161
8470,Anya Jones,A5032571396,alias,I66946132,round2_inst,158
8471,Michael T Pettes,A5078167986,fuzzy,I140172145,round2_inst,147
8472,Adrian G Del Maestro,A5038422656,fuzzy,I111236770,round2_inst,168
8473,Michele Pavanello,A5024093329,alias,I102322142,round3_semantic,134
8474,Chunlei C Liang,A5079567349,fuzzy,I193531525,round2_inst,99
8475,Weigang Wang,A5100658870,exact,I138006243,round2_inst,74
8476,Yuze (Alice) Sun,A5081469699,fuzzy,I189196454,round2_inst,105
8477,Tara L Deans,A5051490318,fuzzy,I223532165,round2_inst,34
8479,SungWoo Nam,A5101901781,exact,I157725225,round2_inst,109
8480,Boubacar Kante,A5004611571,alias,I36258959,round2_inst,211
8481,Michael J Gollner,A5042965162,fuzzy,I66946132,round2_inst,156
8482,Melissa C Skala,A5084628898,fuzzy,I200719446,round2_inst,391
