rid,aus_name,authorid,match_type,host_id,passed,n_papers,source
1924,Yun Liu,A5100603066,alias,I118347636,True,726,round4_semtie
1925,Paulette van Vliet,A5081062946,exact,I78757542,True,79,round4_semtie
1932,Stephen Billett,A5070979641,alias,I11701301,True,531,round4_semtie
1946,Alison Bashford,A5016061037,alias,I129604602,True,165,round4_semtie
1953,Ashish Sharma,A5100622412,exact,I31746571,True,565,round4_semtie
1979,Felicity Baker,A5088999334,alias,I165779595,True,174,round4_semtie
1982,Yuan Feng,A5022869475,alias,I114017466,True,330,round4_semtie
1991,Sarah Maddison,A5023246769,exact,I31746571,True,191,round4_semtie
1997,Baolin Wang,A5100648294,alias,I63525965,True,321,round4_semtie
2000,Jian Li,A5100402534,alias,I56590836,True,1170,round4_semtie
2008,Zongping Shao,A5034744923,exact,I205640436,True,1058,round4_semtie
2032,Colin Smith,A5083596867,alias,I196829312,True,562,round4_semtie
2038,Martin Thomas,A5055978192,alias,I118347636,True,420,round4_semtie
2043,Karlheinz Peter,A5049936296,alias,I142471025,True,903,round4_semtie
2046,Jonathan Schaffer,A5101490473,alias,I118347636,True,92,round4_semtie
2069,David Wilson,A5045627685,exact,I31746571,True,324,round4_semtie
2074,Jean Yang,A5028524705,alias,I129604602,True,449,round4_semtie
2085,David White,A5065698184,exact,I177877127,True,932,round4_semtie
2096,Anupam Mazumdar,A5020747405,exact,,True,373,round4_semtie
2105,Michael Bunce,A5085536018,alias,I205640436,True,245,round4_semtie
2110,Kirill Alexandrov,A5060924890,exact,I165143802,True,235,round4_semtie
2111,Shanqing Zhang,A5046237914,alias,I11701301,True,428,round4_semtie
2127,Nick Barker,A5073963216,alias,,True,186,round4_semtie
2129,Ying Tan,A5023089209,alias,I165779595,True,620,round4_semtie
2140,Michael Thielscher,A5057895161,alias,I31746571,True,185,round4_semtie
2144,Yuesheng Li,A5101914943,exact,I217937681,True,123,round4_semtie
2149,Chengzhong Yu,A5009277202,alias,I165143802,True,508,round4_semtie
2161,Christina Lim,A5032554580,exact,I165779595,True,379,round4_semtie
2162,Lian Zhang,A5100647988,exact,I56590836,True,788,round4_semtie
2165,Christopher Hutchinson,A5086771995,exact,I56590836,True,225,round4_semtie
2182,Chengrong Chen,A5009088303,exact,I11701301,True,253,round4_semtie
2184,Thomas Faunce,A5085044596,alias,I118347636,True,395,round4_semtie
2187,Jin Zou,A5003746258,exact,I165143802,True,1214,round4_semtie
2193,Xuchuan Jiang,A5002962596,exact,I56590836,True,163,round4_semtie
2204,Jie Zhang,A5100436868,alias,I56590836,True,933,round4_semtie
2207,Zhenxiang Cheng,A5009561241,alias,I204824540,True,536,round4_semtie
2215,Thomas Reuter,A5102923163,alias,I165779595,True,115,round4_semtie
