rid,aus_name,authorid,sci_name,match_type
1830,Ian Wright,A5054740515,Wright Ian,alias
14,Jia Wu,A5032872810,Jia Wu,alias
800,Hao Liu,A5003007357,Hao Liu,alias
103,Jun Zhang,A5063067122,Jun Zhang,alias
845,Chuan Zhao,A5063518256,Zhao Chuan,alias
189,Chen Li,A5100369808,Chen Li,alias
492,Zhi Li,A5100382276,Zhi Li,alias
1154,Bo Li,A5100758779,Bo Li,alias
1496,Qing Li,A5100404044,Qing Li,alias
103,Jun Zhang,A5112480733,Jun Zhang,alias
1601,Rui Zhang,A5100422105,Rui Zhang,alias
800,Hao Liu,A5100458869,Hao Liu,alias
492,Zhi Li,A5100629556,Zhi Li,alias
1162,Yanbo Wang,A5100452587,Yanbo Wang,alias
1484,Tao Liu,A5100601868,Tao Liu,alias
1154,Bo Li,A5100676219,Bo Li,alias
240,Yang Liu,A5100410575,Yang Liu,alias
1997,Baolin Wang,A5100648291,Baolin Wang,alias
123,Jun Li,A5100362120,Jun Li,alias
123,Jun Li,A5100674765,Jun Li,alias
1753,Dan Li,A5100380717,Dan Li,alias
1289,Wen Lei,A5100770614,L. Wen,alias
1753,Dan Li,A5100380776,Dan Li,alias
831,Ying Zhang,A5011800691,Ying Zhang,alias
1753,Dan Li,A5100380794,Dan Li,alias
218,Ling Chen,A5100411148,Ling Chen,alias
831,Ying Zhang,A5100386173,Ying Zhang,alias
189,Chen Li,A5100369838,Chen Li,alias
419,Li Wei,A5100318252,Wei Li,alias
1496,Qing Li,A5100404133,Qing Li,alias
2000,Jian Li,A5100402616,Jian Li,alias
234,JIA WANG,A5100404644,Jia Wang,alias
693,Jun Li,A5100695826,Chang Ming Li,alias
216,Jin Zhang,A5065325168,Jin Z. Zhang,alias
2000,Jian Li,A5100402534,Jian Li,alias
363,Han Lin,A5100717043,Lin‐Hai Han,alias
1995,Raphael Didham,A5057245217,Raphaël K. Didham,alias
693,Jun Li,A5100361799,Jun Li,alias
794,Timothy Smith,A5002756896,Timothy B. Smith,alias
492,Zhi Li,A5100382337,Zhi Li,alias
419,Li Wei,A5100318024,Wei Li,alias
123,Jun Li,A5100362117,Jun Li,alias
940,Jiabao Yi,A5079135640,Jiabao Yi,alias
419,Li Wei,A5045547813,Wei Li,alias
831,Ying Zhang,A5100386104,Ying Zhang,alias
419,Li Wei,A5100318166,Wei Li,alias
1507,Xuehua Zhang,A5058810020,Xuehua Zhang,alias
1901,Andrew Hill,A5065969795,Andrew Hill,alias
419,Li Wei,A5105729109,Wei Li,alias
1840,Sharon Pickering,A5112800721,Sharon Pickering,alias
485,Christopher Brown,A5068956538,Christopher R. Brown,alias
1886,Andrew Harris,A5102859645,Andrew C. Harris,alias
1333,David Evans,A5111902420,David F. Evans,alias
831,Ying Zhang,A5101741899,Ying Zhang,alias
728,Jian Yang,A5100877799,Jian Yang,alias
749,Qiang Fu,A5100612032,Qiang Fu,alias
123,Jun Li,A5100673822,Li Jun,alias
693,Jun Li,A5100720626,Jun Li,alias
270,Julie Brown,A5103064750,Julie A. Brown,alias
831,Ying Zhang,A5102020886,Ying Zhang,alias
1924,Yun Liu,A5101768812,Yun Liu,alias
1334,Paul Jackson,A5037002606,Paul T. Jackson,alias
1676,Han Huang,A5100766508,Han Huang,alias
1154,Bo Li,A5100688320,Bo Li,alias
240,Yang Liu,A5100679023,Liu Yang,alias
216,Jin Zhang,A5100704181,Jin Zhang,alias
934,Mark Holmes,A5040274096,M. W. A. Holmes,alias
123,Jun Li,A5100647719,Li Jun,alias
419,Li Wei,A5100689774,Wei Li,alias
972,Kai He,A5100700359,Kai He,alias
103,Jun Zhang,A5049628688,Jun Zhang,alias
1242,David Wood,A5002621175,D.G.M. Wood,alias
1593,Min Chen,A5004129652,Chen Min,alias
103,Jun Zhang,A5022394852,Jun Zhang,alias
1700,Kate Shaw,A5107952037,Kate Shaw,alias
492,Zhi Li,A5103868005,Li Zhi,alias
2085,David White,A5064530209,David S. White,alias
2129,Ying Tan,A5101897719,Ying Tan,alias
491,Paul Evans,A5103585418,Paul R. Evans,alias
492,Zhi Li,A5103799625,Zhi Li,alias
189,Chen Li,A5063490602,Li Chen,alias
651,Ben White,A5044058270,Ben White,alias
394,Alan Gamlen,A5103077595,Alan Gamlen,alias
2000,Jian Li,A5104153268,Jian Li,alias
1593,Min Chen,A5035120117,Min Chen,alias
1980,Justin Harris,A5101401106,Justin Harris,alias
216,Jin Zhang,A5004478838,Jin Zhang,alias
749,Qiang Fu,A5102002909,Qiang Fu,alias
693,Jun Li,A5113615062,Jun Li,alias
901,Simon Campbell,A5103188388,S. Campbell,alias
1768,Michael Smith,A5101937233,Michael Smith,alias
749,Qiang Fu,A5101947629,Qiang Fu,alias
11,David Byrne,A5102676879,David Byrne,alias
693,Jun Li,A5102013672,Li Jun,alias
1924,Yun Liu,A5101681875,Yun Liu,alias
1207,Stuart Macgregor,A5102894120,Stuart R. Macgregor,alias
534,Bin Luo,A5101984326,Bin Luo,alias
103,Jun Zhang,A5101011620,Zhang Jun,alias
123,Jun Li,A5101489702,Li Jun,alias
2141,Andrew Martin,A5037960950,Andrew Martin,alias
130,Xi Zheng,A5086060949,Xi Zheng,alias
1494,Gary Owens,A5029210828,Owens-Gary,alias
1472,David Turner,A5029650103,David Turner,alias
934,Mark Holmes,A5033864602,Mark Holmes,alias
504,Belinda van Heerwaarden,A5072695362,van Heerwaarden Belinda,alias
14,Jia Wu,A5079076162,Jia Wu,alias
1504,Gregory Brown,A5076929827,B.A.J.C. Gregory,alias
935,Simon Ho,A5039496235,Simon Y. Ho,alias
364,Bing Sun,A5013540804,BingSun,alias
419,Li Wei,A5007233376,Wei Li,alias
2000,Jian Li,A5010403793,Jian Li,alias
1195,Michael Shields,A5099358188,Michael Shields,alias
1753,Dan Li,A5103653678,Li Dan,alias
327,Lei Ge,A5103918830,Ge Lei,alias
1563,Michael Samuel,A5104056666,Samuel - Michael,alias
954,Wei Kong Pang,A5104070404,Wei Kong Pang,alias
1924,Yun Liu,A5081993698,Yun Liu,alias
1807,Sharon Parker,A5005336267,Sharon E. Parker,alias
103,Jun Zhang,A5091936859,Jun Zhang,alias
218,Ling Chen,A5092113834,Ling Chen,alias
218,Ling Chen,A5092262479,Ling Chen,alias
1436,Hongxia Wang,A5092268106,Hongxia Wang,alias
103,Jun Zhang,A5092475761,Jun Zhang,alias
1639,Jung Ho Kim,A5100426040,Jung-Ho Kim,alias
1425,Zheng Jiang,A5110378928,Zheng Qing Jiang,alias
1706,Stephanie Brown,A5110682913,Stephanie Brown,alias
419,Li Wei,A5110780719,Li Wei,alias
369,Jun Huang,A5002709890,Jun Kui Huang,alias
1371,John Hellstrom,A5034340422,John Hellström,alias
845,Chuan Zhao,A5033678209,zhao chuan,alias
240,Yang Liu,A5070135306,Yang Liu,alias
1107,Matthew Tucker,A5023942647,Matthew Tucker,alias
1154,Bo Li,A5108153109,Bo Li,alias
87,Gang Li,A5045225385,Gang Li,alias
1982,Yuan Feng,A5008577500,Feng Yuan,alias
189,Chen Li,A5021167945,Chen Li,alias
497,Sarah Foster,A5086134301,Sarah Foster,alias
240,Yang Liu,A5082690886,Liu Yang,alias
359,Annan Zhou,A5053186099,An-Nan Zhou,alias
1201,David Parkinson,A5021018737,David E. Parkinson,alias
1901,Andrew Hill,A5032742596,Andrew Hill,alias
218,Ling Chen,A5098700354,Ling-Chen,alias
765,Megan Maher,A5111747533,Megan Maher,alias
87,Gang Li,A5100746720,Gang Li,alias
1154,Bo Li,A5100783955,Bo Li,alias
1117,Justin Clemens,A5099236626,Justin Clemens,alias
794,Timothy Smith,A5101150725,Timothy Smith,alias
621,Yang Song,A5103171969,Yang Song,alias
1378,Sara Davies,A5114078333,S. P. Davies,alias
921,Yuan Chen,A5101874806,Yuan Chen,alias
240,Yang Liu,A5102965059,Yang Liu,alias
