rid,eu_name,authorid,match_type,host_id,source
2259,Marcos García Suero,A5083733377,alias,I4210088955,round2_inst
2260,John Forwood Bower,A5046252728,fuzzy,I146655781,round2_inst
2261,Maria Kamperman,A5025797923,fuzzy,,round3_semantic
2262,Dennis Gillingham,A5021250279,exact,,name_unique
2263,Davide Audisio,A5003049034,exact,I2738703131,round2_inst
2264,David Portehault,A5012499871,exact,,name_unique
2265,Matthew Gibson,A5108664389,exact,,round3_semantic
2266,Sander Izaak Van Kasteren,A5110607137,alias,I121797337,round2_inst
2267,Elena Goun,A5103258316,exact,,name_unique
2268,Franziska Schönebeck,A5113452257,exact,,name_unique
2269,Luís Mafra Monteiro,A5058074735,fuzzy,I60858718,round3_semantic
2270,Thomas Poulsen,A5108714296,exact,I204337017,round2_inst
2271,Benjamin Abécassis,A5041371528,exact,I1294671590,round2_inst
2272,Nuno Silva,A5082326781,exact,I60858718,round2_inst
2273,Tim Liedl,A5065609760,exact,,name_unique
2274,David Mills,A5021404805,exact,I28407311,round2_inst
2275,Sebastian Hasenstab-Riedel,A5098696306,exact,,round4_semtie
2276,Rubén Darío Costa,A5074355883,fuzzy,I62916508,round2_inst
2277,Rafal Klajn,A5050537578,exact,,name_unique
2278,Tibor Kudernac,A5043715610,exact,,name_unique
2279,Emilio Pardo,A5007448361,exact,,name_unique
2280,Sara Bals,A5013888065,exact,,name_unique
2281,Ryan Gilmour,A5050197366,exact,I22465464,round4_semtie
2282,Thibault Cantat,A5105981674,exact,I2738703131,round2_inst
2283,Maksym Kovalenko,A5026556947,exact,,round3_semantic
2284,Pol Besenius,A5090589031,exact,,name_unique
2285,Xinliang Feng,A5100659481,exact,,name_unique
2286,Giuseppe Battaglia,A5060078978,exact,I4210147769,round3_semantic
2287,Marc Vendrell Escobar,A5016715745,exact,,name_unique
2288,Michael James Ingleson,A5023948794,alias,I98677209,round2_inst
2289,Ismael Díez Pérez,A5066871664,exact,I183935753,round2_inst
2290,Daniel Brandell,A5041676312,exact,,name_unique
2291,Robert Matthias Wolf,A5087377456,fuzzy,I60668342,round3_semantic
2292,Syuzanna Harutyunyan,A5012293576,alias,I169381384,round2_inst
2293,Rylie Green,A5009901504,alias,I47508984,round2_inst
2294,André Estevez-Torres,A5009252326,exact,,name_unique
2295,Lapo Bogani,A5082077111,exact,,name_unique
2296,Nathalie Hélène Katsonis,A5057724218,fuzzy,I169381384,round2_inst
2297,Paolo Falcaro,A5008169042,exact,,name_unique
2298,Julien Gautrot,A5083547314,alias,I166337079,round2_inst
2299,Jerome Waser,A5008165586,exact,,name_unique
2300,Heikki Markus Tuononen,A5064601612,fuzzy,I94722563,round2_inst
2301,Manuel Alcarazo Velasco,A5026352593,exact,,name_unique
2302,Wolfgang Hoyer,A5068353740,exact,,round3_semantic
2303,Oren Alexander Scherman,A5036947777,alias,I241749,round2_inst
2304,Michael Günther Mastalerz,A5043398784,fuzzy,,round3_semantic
2305,Stephan Sieber,A5102176174,exact,,round3_semantic
2306,Aurelio Mateo Alonso,A5038889906,exact,I169108374,round2_inst
2307,Olga Garcia Mancheno,A5108209356,exact,I22465464,round2_inst
2308,Jeroen Dirk Cornelis Codée,A5057071421,fuzzy,I121797337,round4_semtie
2309,Mirko Cinchetti,A5076282922,exact,,name_unique
2310,Jamie Hans Warner,A5035136972,fuzzy,I40120149,round3_semantic
2311,Stephen Michael Goldup,A5058050620,alias,I43439940,round2_inst
2312,Fabrice Philippe Pointillart,A5034045220,fuzzy,I1294671590,round3_semantic
2313,Nathaniel Isaac Martin,A5088809877,fuzzy,I121797337,round2_inst
2314,Guillermo Minguez Espallargas,A5042054674,exact,I16097986,round2_inst
2315,Christian Adam Olsen,A5041984050,alias,I124055696,round2_inst
2316,Rienk Eelkema,A5084672238,exact,,name_unique
2317,Nuria Aliaga-Alcalde,A5064283701,exact,,round4_semtie
2318,Michal Otyepka,A5041529029,exact,,name_unique
2319,Stephen Patrick Fletcher,A5005894917,fuzzy,I40120149,round4_semtie
2320,Paolo Melchiorre,A5088465399,exact,,name_unique
2321,Xile Hu,A5076829051,exact,I5124864,round2_inst
2322,Axel Jacobi Von Wangelin,A5046541409,exact,,name_unique
2323,Claudia Höbartner,A5021290270,exact,,name_unique
2324,Sascha Ott,A5045357913,exact,I123387679,round2_inst
2325,Marijn Arnout Van Huis,A5003407724,fuzzy,I193662353,round2_inst
2326,Christelle Nathalie Prinz,A5070114252,fuzzy,I187531555,round2_inst
2327,Gilles Albert Gasser,A5059114538,alias,,round3_semantic
2328,Guido Heinrich Clever,A5043202190,fuzzy,,round3_semantic
2329,Jörg Hartig,A5076752181,exact,,name_unique
2330,Jens Wenzel Andreasen,A5064138666,exact,,name_unique
2331,Andrew Peter Dove,A5030433677,fuzzy,I79619799,round2_inst
2333,Nuno Xavier Dias Maulide,A5084246998,fuzzy,I129774422,round2_inst
2334,Ageeth Bol,A5079178929,alias,I83019370,round2_inst
2335,Cristiana Di Valentin,A5076721274,exact,,name_unique
2337,Alejandro Gaita Ariño,A5084326714,exact,I16097986,round2_inst
2339,Daniel Bodo Werz,A5079173916,alias,,round3_semantic
2340,Maria Carmen Galan,A5064848403,alias,I36234482,round2_inst
2341,Julio Lloret Fillol,A5013865355,exact,,name_unique
2342,Tina Düren,A5047806489,exact,,name_unique
2343,Martin Georg Steinhart,A5042098091,fuzzy,I170658231,round2_inst
2344,Olivier Pierre Renaudet,A5064490338,fuzzy,I899635006,round3_semantic
2345,Maria Jesus Vicent Docon,A5049066047,exact,,name_unique
2346,Sven Schneider,A5067235857,exact,I74656192,round2_inst
2347,Richard Alan Layfield,A5010601931,fuzzy,I162608824,round2_inst
2348,Alexander Andreas Reinhard Klaus Böker,A5045755997,fuzzy,,round3_semantic
2349,Julien Bachmann,A5002887494,exact,I181369854,round2_inst
2350,Wolfgang Schmitt,A5082829143,exact,I205274468,round2_inst
